Entrez ID	Type
285550	not inferred
107985226	not inferred
285555	not inferred
3640	best inferred
285556	not inferred
286887	not inferred
259266	best inferred
107986554	not inferred
2306	best inferred
3638	landmark
4969	best inferred
2305	best inferred
2304	best inferred
2303	best inferred
2302	best inferred
2301	inferred
284217	inferred
2300	inferred
3630	inferred
3631	best inferred
3632	best inferred
3633	best inferred
2309	landmark
3635	best inferred
2308	best inferred
3636	best inferred
4967	best inferred
2307	not inferred
4968	best inferred
3651	inferred
4982	best inferred
2317	best inferred
1	not inferred
2316	best inferred
2	best inferred
2315	best inferred
2314	best inferred
2313	best inferred
284207	not inferred
2312	best inferred
3641	inferred
9	best inferred
3642	best inferred
4973	best inferred
3643	best inferred
4974	best inferred
4975	inferred
3645	inferred
4976	best inferred
3646	best inferred
2319	best inferred
4978	best inferred
2318	best inferred
4990	inferred
3660	best inferred
4991	inferred
3661	best inferred
4992	inferred
3662	best inferred
4993	inferred
1000	best inferred
2331	best inferred
2330	best inferred
107985240	not inferred
107985246	not inferred
259240	not inferred
2328	best inferred
2327	best inferred
100862671	not inferred
2326	best inferred
2324	best inferred
2323	best inferred
259239	not inferred
2322	best inferred
2321	best inferred
3652	best inferred
4983	inferred
3653	best inferred
3654	best inferred
4985	inferred
3655	best inferred
4986	inferred
3656	not inferred
4987	best inferred
4988	inferred
3658	best inferred
2329	best inferred
3659	best inferred
3670	inferred
3671	best inferred
3672	best inferred
285588	not inferred
3673	best inferred
2342	inferred
1010	inferred
1008	best inferred
2339	best inferred
1007	best inferred
1006	best inferred
1005	inferred
1004	best inferred
2335	best inferred
1003	best inferred
2334	inferred
1002	best inferred
259249	not inferred
1001	landmark
2332	best inferred
3663	best inferred
4994	inferred
3664	best inferred
4995	inferred
3665	best inferred
3667	best inferred
4998	landmark
4999	best inferred
285590	not inferred
3669	best inferred
1009	best inferred
116729	not inferred
260293	not inferred
3680	best inferred
3681	not inferred
3682	landmark
3683	best inferred
3684	best inferred
128710	not inferred
1022	landmark
2353	landmark
285513	not inferred
107986596	not inferred
1021	landmark
2352	best inferred
1020	best inferred
2350	best inferred
1019	landmark
1018	best inferred
1017	landmark
2348	best inferred
1016	best inferred
1015	inferred
2346	not inferred
1014	best inferred
1013	best inferred
1012	best inferred
3674	inferred
3675	best inferred
284257	not inferred
3676	best inferred
100128731	not inferred
3678	best inferred
284254	not inferred
3679	best inferred
284252	not inferred
728464	not inferred
3690	best inferred
3691	best inferred
3692	best inferred
3693	landmark
285521	not inferred
3694	best inferred
3695	best inferred
1033	best inferred
1032	best inferred
285525	not inferred
1031	best inferred
1030	best inferred
285527	best inferred
729799	inferred
1029	landmark
440295	not inferred
1028	best inferred
2359	best inferred
1027	landmark
2358	best inferred
1026	landmark
2357	best inferred
440292	not inferred
1025	best inferred
2356	landmark
1024	best inferred
2355	best inferred
2354	best inferred
3685	best inferred
3687	best inferred
3688	best inferred
3689	best inferred
259283	not inferred
259282	not inferred
728498	best inferred
728492	not inferred
285533	not inferred
1044	inferred
1043	best inferred
259289	not inferred
1041	inferred
1040	best inferred
259287	not inferred
259286	not inferred
259285	not inferred
1039	best inferred
1038	best inferred
1036	best inferred
107985283	not inferred
3696	best inferred
3697	inferred
3698	best inferred
3699	best inferred
105371224	not inferred
259294	not inferred
259293	not inferred
728485	not inferred
259292	not inferred
259291	not inferred
259290	not inferred
1054	best inferred
1053	inferred
1052	landmark
1051	best inferred
1050	landmark
728489	not inferred
259296	not inferred
259295	not inferred
1048	inferred
1047	best inferred
1046	inferred
1045	inferred
50700	inferred
646915	not inferred
105371215	not inferred
59082	not inferred
1066	best inferred
2395	best inferred
1063	best inferred
1062	landmark
59084	not inferred
1060	best inferred
11108	best inferred
11107	best inferred
1059	best inferred
1058	best inferred
1057	inferred
85379	not inferred
114112	best inferred
1056	not inferred
11100	best inferred
85377	landmark
85378	not inferred
11102	best inferred
11101	not inferred
85376	not inferred
139411	not inferred
11104	best inferred
11103	best inferred
284297	not inferred
11105	not inferred
25759	not inferred
284293	not inferred
1075	best inferred
115426	not inferred
1073	not inferred
1072	inferred
1071	best inferred
25758	best inferred
440243	not inferred
1070	landmark
11119	best inferred
11118	best inferred
441581	not inferred
1069	best inferred
1068	inferred
85369	not inferred
84034	inferred
85366	not inferred
84033	inferred
11113	best inferred
85364	not inferred
11112	not inferred
85365	not inferred
139422	not inferred
85363	best inferred
11117	best inferred
85360	best inferred
