Entrez ID	Symbol	Name	Gene Family	Type	RNA-Seq Correlation	RNA-Seq Correlation Self-Rank
285550	FAM200B	family with sequence similarity 200 member B		not inferred		
107985226	LOC107985226	uncharacterized LOC107985226		not inferred		
285555	STPG2	sperm tail PG-rich repeat containing 2		not inferred		
3640	INSL3	insulin like 3	Endogenous ligands	best inferred	0.55	0.00
285556	LOC285556	uncharacterized LOC285556		not inferred		
286887	KRT6C	keratin 6C	Keratins, type II	not inferred		
259266	ASPM	abnormal spindle microtubule assembly		best inferred	0.70	0.00
107986554	LOC107986554	uncharacterized LOC107986554		not inferred		
2306	FOXD2	forkhead box D2	Forkhead boxes	best inferred	0.50	0.01
3638	INSIG1	insulin induced gene 1		landmark		
4969	OGN	osteoglycin	Small leucine rich repeat proteoglycans	best inferred	0.82	0.00
2305	FOXM1	forkhead box M1	Forkhead boxes	best inferred	0.68	0.00
2304	FOXE1	forkhead box E1	Forkhead boxes	best inferred	0.39	0.00
2303	FOXC2	forkhead box C2	Forkhead boxes	best inferred	0.64	0.00
2302	FOXJ1	forkhead box J1	Forkhead boxes	best inferred	0.43	0.01
2301	FOXE3	forkhead box E3	Forkhead boxes	inferred	0.01	0.50
284217	LAMA1	laminin subunit alpha 1	Laminin subunits	inferred	0.02	0.46
2300	FOXL1	forkhead box L1	Forkhead boxes	inferred	-0.11	0.69
3630	INS	insulin	Endogenous ligands	inferred	0.08	0.33
3631	INPP4A	inositol polyphosphate-4-phosphatase type I A	C2 domain containing	best inferred	0.75	0.00
3632	INPP5A	inositol polyphosphate-5-phosphatase A	Phosphoinositide phosphatases	best inferred	0.69	0.00
3633	INPP5B	inositol polyphosphate-5-phosphatase B	Phosphoinositide phosphatases	best inferred	0.78	0.00
2309	FOXO3	forkhead box O3	Forkhead boxes	landmark		
3635	INPP5D	inositol polyphosphate-5-phosphatase D	SH2 domain containing, Phosphoinositide phosphatases	best inferred	0.78	0.00
2308	FOXO1	forkhead box O1	Forkhead boxes	best inferred	0.83	0.00
3636	INPPL1	inositol polyphosphate phosphatase like 1	SH2 domain containing, Sterile alpha motif domain containing, Phosphoinositide phosphatases	best inferred	0.85	0.00
4967	OGDH	oxoglutarate dehydrogenase		best inferred	0.76	0.00
2307	FOXS1	forkhead box S1	Forkhead boxes	not inferred		
4968	OGG1	8-oxoguanine DNA glycosylase	DNA glycosylases	best inferred	0.56	0.00
3651	PDX1	pancreatic and duodenal homeobox 1	HOXL subclass homeoboxes	inferred	0.23	0.12
4982	TNFRSF11B	TNF receptor superfamily member 11b	Tumor necrosis factor receptor superfamily	best inferred	0.60	0.00
2317	FLNB	filamin B		best inferred	0.73	0.00
1	A1BG	alpha-1-B glycoprotein	Immunoglobulin like domain containing	not inferred		
2316	FLNA	filamin A		best inferred	0.96	0.00
2	A2M	alpha-2-macroglobulin	C3 and PZP like, alpha-2-macroglobulin domain containing	best inferred	0.85	0.00
2315	MLANA	melan-A		best inferred	0.48	0.02
2314	FLII	FLII, actin remodeling protein	Gelsolin/villins	best inferred	0.71	0.00
2313	FLI1	Fli-1 proto-oncogene, ETS transcription factor	ETS transcription factor family	best inferred	0.86	0.00
284207	METRNL	meteorin like, glial cell differentiation regulator		not inferred		
2312	FLG	filaggrin	EF-hand domain containing, S100 fused type protein family	best inferred	0.40	0.03
3641	INSL4	insulin like 4		inferred	0.17	0.19
9	NAT1	N-acetyltransferase 1	Arylamine N-acetyltransferases	best inferred	0.63	0.00
3642	INSM1	INSM transcriptional repressor 1	SNAG transcriptional repressors	best inferred	0.52	0.00
4973	OLR1	oxidized low density lipoprotein receptor 1	Scavenger receptors, C-type lectin domain containing	best inferred	0.58	0.00
3643	INSR	insulin receptor	Receptor Tyrosine Kinases, CD molecules, Fibronectin type III domain containing	best inferred	0.71	0.00
4974	OMG	oligodendrocyte myelin glycoprotein		best inferred	0.46	0.03
4975	OMP	olfactory marker protein		inferred	0.09	0.30
3645	INSRR	insulin receptor related receptor	Receptor Tyrosine Kinases, Fibronectin type III domain containing	inferred	-0.17	0.83
4976	OPA1	OPA1, mitochondrial dynamin like GTPase		best inferred	0.87	0.00
